g,date,opponent,outcome,w,l,pts,opts,team_master,team_abbrev,season
48,"Tue, Feb 3, 1998",Orlando Magic,L,28,20,90,91,ATL,ATL,1998
49,"Thu, Feb 5, 1998",Cleveland Cavaliers,W,29,20,108,94,ATL,ATL,1998
50,"Tue, Feb 10, 1998",Milwaukee Bucks,W,30,20,108,100,ATL,ATL,1998
51,"Fri, Feb 13, 1998",Chicago Bulls,L,30,21,110,112,ATL,ATL,1998
52,"Sat, Feb 14, 1998",Indiana Pacers,L,30,22,92,96,ATL,ATL,1998
53,"Mon, Feb 16, 1998",Orlando Magic,L,30,23,81,85,ATL,ATL,1998
54,"Wed, Feb 18, 1998",New Jersey Nets,W,31,23,114,104,ATL,ATL,1998
55,"Fri, Feb 20, 1998",Vancouver Grizzlies,W,32,23,115,92,ATL,ATL,1998
56,"Wed, Feb 25, 1998",Denver Nuggets,W,33,23,112,88,ATL,ATL,1998
57,"Fri, Feb 27, 1998",Seattle SuperSonics,L,33,24,88,90,ATL,ATL,1998
58,"Sun, Mar 1, 1998",Vancouver Grizzlies,W,34,24,101,76,ATL,ATL,1998
59,"Fri, Mar 6, 1998",Denver Nuggets,W,35,24,115,94,ATL,ATL,1998
60,"Sun, Mar 8, 1998",Cleveland Cavaliers,W,36,24,101,96,ATL,ATL,1998
61,"Wed, Mar 11, 1998",Boston Celtics,W,37,24,110,105,ATL,ATL,1998
62,"Fri, Mar 13, 1998",Philadelphia 76ers,L,37,25,86,107,ATL,ATL,1998
63,"Sun, Mar 15, 1998",Boston Celtics,W,38,25,93,77,ATL,ATL,1998
64,"Tue, Mar 17, 1998",Toronto Raptors,W,39,25,117,105,ATL,ATL,1998
65,"Thu, Mar 19, 1998",Milwaukee Bucks,W,40,25,84,81,ATL,ATL,1998
66,"Fri, Mar 20, 1998",New York Knicks,L,40,26,108,109,ATL,ATL,1998
67,"Sun, Mar 22, 1998",Detroit Pistons,L,40,27,98,105,ATL,ATL,1998
68,"Tue, Mar 24, 1998",Orlando Magic,W,41,27,85,73,ATL,ATL,1998
69,"Fri, Mar 27, 1998",Chicago Bulls,L,41,28,74,89,ATL,ATL,1998
70,"Sun, Mar 29, 1998",Detroit Pistons,W,42,28,118,95,ATL,ATL,1998
71,"Tue, Mar 31, 1998",New Jersey Nets,L,42,29,90,105,ATL,ATL,1998
72,"Wed, Apr 1, 1998",Toronto Raptors,W,43,29,105,91,ATL,ATL,1998
73,"Fri, Apr 3, 1998",Houston Rockets,W,44,29,107,87,ATL,ATL,1998
74,"Sun, Apr 5, 1998",Minnesota Timberwolves,L,44,30,96,97,ATL,ATL,1998
75,"Tue, Apr 7, 1998",New York Knicks,W,45,30,92,79,ATL,ATL,1998
76,"Thu, Apr 9, 1998",Indiana Pacers,L,45,31,102,105,ATL,ATL,1998
77,"Fri, Apr 10, 1998",Charlotte Hornets,W,46,31,99,87,ATL,ATL,1998
78,"Sun, Apr 12, 1998",Washington Wizards,W,47,31,91,81,ATL,ATL,1998
79,"Tue, Apr 14, 1998",Philadelphia 76ers,W,48,31,95,94,ATL,ATL,1998
80,"Wed, Apr 15, 1998",Indiana Pacers,L,48,32,70,82,ATL,ATL,1998
81,"Fri, Apr 17, 1998",Charlotte Hornets,W,49,32,121,104,ATL,ATL,1998
82,"Sun, Apr 19, 1998",Miami Heat,W,50,32,101,89,ATL,ATL,1998
1,"Fri, Feb 5, 1999",Cleveland Cavaliers,W,1,0,100,83,ATL,ATL,1999
2,"Sat, Feb 6, 1999",New Jersey Nets,W,2,0,111,106,ATL,ATL,1999
3,"Sun, Feb 7, 1999",New Jersey Nets,L,2,1,69,79,ATL,ATL,1999
4,"Tue, Feb 9, 1999",Chicago Bulls,W,3,1,87,71,ATL,ATL,1999
5,"Thu, Feb 11, 1999",Charlotte Hornets,W,4,1,100,88,ATL,ATL,1999
6,"Sun, Feb 14, 1999",Philadelphia 76ers,L,4,2,70,78,ATL,ATL,1999
7,"Tue, Feb 16, 1999",Chicago Bulls,W,5,2,83,67,ATL,ATL,1999
8,"Fri, Feb 19, 1999",Orlando Magic,L,5,3,94,99,ATL,ATL,1999
9,"Sat, Feb 20, 1999",Philadelphia 76ers,W,6,3,76,69,ATL,ATL,1999
10,"Mon, Feb 22, 1999",Chicago Bulls,L,6,4,68,77,ATL,ATL,1999
11,"Tue, Feb 23, 1999",Dallas Mavericks,L,6,5,85,89,ATL,ATL,1999
12,"Thu, Feb 25, 1999",Houston Rockets,W,7,5,93,87,ATL,ATL,1999
13,"Sat, Feb 27, 1999",Los Angeles Clippers,W,8,5,103,74,ATL,ATL,1999
14,"Mon, Mar 1, 1999",Orlando Magic,L,8,6,67,70,ATL,ATL,1999
15,"Tue, Mar 2, 1999",Washington Wizards,L,8,7,77,97,ATL,ATL,1999
16,"Thu, Mar 4, 1999",Toronto Raptors,L,8,8,77,86,ATL,ATL,1999
17,"Mon, Mar 8, 1999",Orlando Magic,W,9,8,114,110,ATL,ATL,1999
18,"Wed, Mar 10, 1999",Miami Heat,L,9,9,78,88,ATL,ATL,1999
19,"Thu, Mar 11, 1999",Boston Celtics,W,10,9,99,85,ATL,ATL,1999
20,"Sat, Mar 13, 1999",Toronto Raptors,W,11,9,86,75,ATL,ATL,1999
21,"Sun, Mar 14, 1999",Detroit Pistons,W,12,9,85,72,ATL,ATL,1999
22,"Tue, Mar 16, 1999",Indiana Pacers,W,13,9,85,79,ATL,ATL,1999
23,"Wed, Mar 17, 1999",Miami Heat,L,13,10,85,86,ATL,ATL,1999
24,"Fri, Mar 19, 1999",Phoenix Suns,W,14,10,93,85,ATL,ATL,1999
25,"Sat, Mar 20, 1999",Milwaukee Bucks,L,14,11,77,83,ATL,ATL,1999
26,"Mon, Mar 22, 1999",New York Knicks,W,15,11,80,71,ATL,ATL,1999
27,"Wed, Mar 24, 1999",Indiana Pacers,W,16,11,103,102,ATL,ATL,1999
28,"Fri, Mar 26, 1999",Chicago Bulls,W,17,11,93,81,ATL,ATL,1999
29,"Sat, Mar 27, 1999",Philadelphia 76ers,W,18,11,103,99,ATL,ATL,1999
30,"Mon, Mar 29, 1999",Indiana Pacers,W,19,11,83,82,ATL,ATL,1999
31,"Tue, Mar 30, 1999",Detroit Pistons,L,19,12,77,93,ATL,ATL,1999
32,"Thu, Apr 1, 1999",New Jersey Nets,L,19,13,85,90,ATL,ATL,1999
33,"Fri, Apr 2, 1999",Vancouver Grizzlies,W,20,13,84,81,ATL,ATL,1999
34,"Sun, Apr 4, 1999",Charlotte Hornets,W,21,13,85,83,ATL,ATL,1999
35,"Mon, Apr 5, 1999",Charlotte Hornets,W,22,13,77,71,ATL,ATL,1999
36,"Wed, Apr 7, 1999",Detroit Pistons,L,22,14,82,89,ATL,ATL,1999
37,"Fri, Apr 9, 1999",New York Knicks,L,22,15,78,86,ATL,ATL,1999
38,"Sat, Apr 10, 1999",Cleveland Cavaliers,L,22,16,67,81,ATL,ATL,1999
39,"Tue, Apr 13, 1999",Milwaukee Bucks,L,22,17,84,91,ATL,ATL,1999
40,"Wed, Apr 14, 1999",Boston Celtics,W,23,17,77,70,ATL,ATL,1999
41,"Fri, Apr 16, 1999",Orlando Magic,W,24,17,91,79,ATL,ATL,1999
42,"Tue, Apr 20, 1999",Toronto Raptors,W,25,17,103,81,ATL,ATL,1999
43,"Thu, Apr 22, 1999",Boston Celtics,W,26,17,106,94,ATL,ATL,1999
44,"Fri, Apr 23, 1999",Washington Wizards,W,27,17,89,78,ATL,ATL,1999
45,"Sun, Apr 25, 1999",Milwaukee Bucks,W,28,17,85,70,ATL,ATL,1999
46,"Wed, Apr 28, 1999",New York Knicks,W,29,17,76,73,ATL,ATL,1999
47,"Fri, Apr 30, 1999",Indiana Pacers,L,29,18,90,92,ATL,ATL,1999
48,"Sun, May 2, 1999",Cleveland Cavaliers,W,30,18,76,65,ATL,ATL,1999
49,"Tue, May 4, 1999",Miami Heat,L,30,19,79,93,ATL,ATL,1999
50,"Wed, May 5, 1999",Washington Wizards,W,31,19,100,92,ATL,ATL,1999
1,"Tue, Nov 2, 1999",Washington Wizards,L,0,1,87,94,ATL,ATL,2000
2,"Thu, Nov 4, 1999",Milwaukee Bucks,L,0,2,109,119,ATL,ATL,2000
3,"Sat, Nov 6, 1999",Chicago Bulls,W,1,2,113,97,ATL,ATL,2000
4,"Mon, Nov 8, 1999",Denver Nuggets,L,1,3,100,115,ATL,ATL,2000
5,"Wed, Nov 10, 1999",Vancouver Grizzlies,L,1,4,97,102,ATL,ATL,2000
6,"Sat, Nov 13, 1999",Portland Trail Blazers,L,1,5,95,131,ATL,ATL,2000
7,"Sun, Nov 14, 1999",Los Angeles Lakers,L,1,6,88,93,ATL,ATL,2000
8,"Tue, Nov 16, 1999",Charlotte Hornets,W,2,6,103,98,ATL,ATL,2000
9,"Fri, Nov 19, 1999",Indiana Pacers,W,3,6,105,99,ATL,ATL,2000
10,"Sat, Nov 20, 1999",Orlando Magic,L,3,7,103,107,ATL,ATL,2000
11,"Tue, Nov 23, 1999",Miami Heat,W,4,7,113,106,ATL,ATL,2000
12,"Wed, Nov 24, 1999",Miami Heat,L,4,8,91,93,ATL,ATL,2000
13,"Fri, Nov 26, 1999",Detroit Pistons,L,4,9,91,93,ATL,ATL,2000
14,"Sat, Nov 27, 1999",Boston Celtics,W,5,9,94,84,ATL,ATL,2000
15,"Tue, Nov 30, 1999",Toronto Raptors,W,6,9,107,89,ATL,ATL,2000
16,"Thu, Dec 2, 1999",Sacramento Kings,W,7,9,110,100,ATL,ATL,2000
17,"Sat, Dec 4, 1999",Detroit Pistons,W,8,9,112,110,ATL,ATL,2000
18,"Wed, Dec 8, 1999",Los Angeles Clippers,W,9,9,99,81,ATL,ATL,2000
19,"Fri, Dec 10, 1999",Golden State Warriors,L,9,10,99,107,ATL,ATL,2000
20,"Sat, Dec 11, 1999",Cleveland Cavaliers,L,9,11,116,127,ATL,ATL,2000
21,"Tue, Dec 14, 1999",Minnesota Timberwolves,W,10,11,105,94,ATL,ATL,2000
22,"Thu, Dec 16, 1999",Los Angeles Lakers,L,10,12,88,95,ATL,ATL,2000
23,"Sat, Dec 18, 1999",Utah Jazz,L,10,13,96,106,ATL,ATL,2000
24,"Sun, Dec 19, 1999",New Jersey Nets,L,10,14,88,96,ATL,ATL,2000
25,"Wed, Dec 22, 1999",Boston Celtics,L,10,15,81,98,ATL,ATL,2000
26,"Thu, Dec 23, 1999",Cleveland Cavaliers,W,11,15,108,90,ATL,ATL,2000
27,"Mon, Dec 27, 1999",Charlotte Hornets,L,11,16,104,108,ATL,ATL,2000
28,"Wed, Dec 29, 1999",Indiana Pacers,L,11,17,89,116,ATL,ATL,2000
29,"Thu, Dec 30, 1999",Detroit Pistons,L,11,18,105,106,ATL,ATL,2000
30,"Tue, Jan 4, 2000",Milwaukee Bucks,L,11,19,113,116,ATL,ATL,2000
31,"Wed, Jan 5, 2000",Detroit Pistons,L,11,20,108,120,ATL,ATL,2000
32,"Fri, Jan 7, 2000",Toronto Raptors,W,12,20,105,97,ATL,ATL,2000
33,"Sat, Jan 8, 2000",Dallas Mavericks,L,12,21,85,95,ATL,ATL,2000
34,"Fri, Jan 14, 2000",Chicago Bulls,W,13,21,89,83,ATL,ATL,2000
35,"Sat, Jan 15, 2000",Philadelphia 76ers,L,13,22,98,101,ATL,ATL,2000
36,"Mon, Jan 17, 2000",Milwaukee Bucks,L,13,23,101,107,ATL,ATL,2000
37,"Wed, Jan 19, 2000",Philadelphia 76ers,L,13,24,89,107,ATL,ATL,2000
38,"Fri, Jan 21, 2000",Miami Heat,L,13,25,79,101,ATL,ATL,2000
39,"Sat, Jan 22, 2000",Washington Wizards,W,14,25,111,93,ATL,ATL,2000
40,"Tue, Jan 25, 2000",Chicago Bulls,W,15,25,96,89,ATL,ATL,2000
41,"Fri, Jan 28, 2000",New York Knicks,W,16,25,98,96,ATL,ATL,2000
42,"Sat, Jan 29, 2000",Orlando Magic,L,16,26,87,103,ATL,ATL,2000
43,"Wed, Feb 2, 2000",New Jersey Nets,W,17,26,97,89,ATL,ATL,2000
44,"Fri, Feb 4, 2000",Portland Trail Blazers,L,17,27,90,97,ATL,ATL,2000
45,"Sat, Feb 5, 2000",Cleveland Cavaliers,W,18,27,102,94,ATL,ATL,2000
46,"Tue, Feb 8, 2000",Toronto Raptors,L,18,28,88,109,ATL,ATL,2000
47,"Wed, Feb 9, 2000",Houston Rockets,W,19,28,116,100,ATL,ATL,2000
48,"Tue, Feb 15, 2000",New Jersey Nets,W,20,28,103,86,ATL,ATL,2000
49,"Fri, Feb 18, 2000",Phoenix Suns,L,20,29,73,85,ATL,ATL,2000
50,"Mon, Feb 21, 2000",Utah Jazz,L,20,30,94,96,ATL,ATL,2000
51,"Wed, Feb 23, 2000",Sacramento Kings,W,21,30,100,94,ATL,ATL,2000
52,"Fri, Feb 25, 2000",Seattle SuperSonics,W,22,30,95,87,ATL,ATL,2000
53,"Sat, Feb 26, 2000",Los Angeles Clippers,L,22,31,77,78,ATL,ATL,2000
54,"Mon, Feb 28, 2000",Golden State Warriors,L,22,32,75,80,ATL,ATL,2000
55,"Wed, Mar 1, 2000",Washington Wizards,L,22,33,83,102,ATL,ATL,2000
56,"Fri, Mar 3, 2000",New York Knicks,W,23,33,83,70,ATL,ATL,2000
57,"Sat, Mar 4, 2000",Seattle SuperSonics,L,23,34,81,93,ATL,ATL,2000
58,"Mon, Mar 6, 2000",Milwaukee Bucks,L,23,35,78,111,ATL,ATL,2000
59,"Tue, Mar 7, 2000",Chicago Bulls,L,23,36,82,89,ATL,ATL,2000
60,"Thu, Mar 9, 2000",San Antonio Spurs,L,23,37,79,105,ATL,ATL,2000
61,"Sat, Mar 11, 2000",Vancouver Grizzlies,W,24,37,91,86,ATL,ATL,2000
62,"Tue, Mar 14, 2000",San Antonio Spurs,L,24,38,79,94,ATL,ATL,2000
63,"Wed, Mar 15, 2000",Indiana Pacers,L,24,39,107,113,ATL,ATL,2000
64,"Fri, Mar 17, 2000",Boston Celtics,L,24,40,90,114,ATL,ATL,2000
65,"Sun, Mar 19, 2000",Dallas Mavericks,L,24,41,85,89,ATL,ATL,2000
66,"Tue, Mar 21, 2000",Miami Heat,W,25,41,82,77,ATL,ATL,2000
67,"Wed, Mar 22, 2000",Orlando Magic,L,25,42,90,103,ATL,ATL,2000
68,"Fri, Mar 24, 2000",New York Knicks,L,25,43,83,95,ATL,ATL,2000
69,"Sat, Mar 25, 2000",Charlotte Hornets,L,25,44,70,86,ATL,ATL,2000
70,"Tue, Mar 28, 2000",Denver Nuggets,W,26,44,116,111,ATL,ATL,2000
71,"Thu, Mar 30, 2000",Phoenix Suns,L,26,45,74,118,ATL,ATL,2000
72,"Sat, Apr 1, 2000",Houston Rockets,L,26,46,93,115,ATL,ATL,2000
73,"Tue, Apr 4, 2000",Minnesota Timberwolves,L,26,47,76,86,ATL,ATL,2000
74,"Wed, Apr 5, 2000",Philadelphia 76ers,L,26,48,86,107,ATL,ATL,2000
75,"Fri, Apr 7, 2000",Toronto Raptors,L,26,49,84,104,ATL,ATL,2000
76,"Sat, Apr 8, 2000",Washington Wizards,L,26,50,98,108,ATL,ATL,2000
77,"Mon, Apr 10, 2000",Boston Celtics,L,26,51,94,99,ATL,ATL,2000
78,"Wed, Apr 12, 2000",Charlotte Hornets,L,26,52,87,119,ATL,ATL,2000
79,"Fri, Apr 14, 2000",Philadelphia 76ers,L,26,53,92,104,ATL,ATL,2000
80,"Sun, Apr 16, 2000",Cleveland Cavaliers,W,27,53,104,101,ATL,ATL,2000
81,"Tue, Apr 18, 2000",New Jersey Nets,W,28,53,111,109,ATL,ATL,2000
82,"Wed, Apr 19, 2000",Indiana Pacers,L,28,54,92,111,ATL,ATL,2000
1,"Tue, Oct 31, 2000",Charlotte Hornets,L,0,1,82,106,ATL,ATL,2001
2,"Thu, Nov 2, 2000",New York Knicks,L,0,2,69,94,ATL,ATL,2001
3,"Sat, Nov 4, 2000",Orlando Magic,L,0,3,104,107,ATL,ATL,2001
4,"Mon, Nov 6, 2000",Vancouver Grizzlies,L,0,4,87,97,ATL,ATL,2001
5,"Tue, Nov 7, 2000",Portland Trail Blazers,L,0,5,88,97,ATL,ATL,2001
6,"Thu, Nov 9, 2000",Phoenix Suns,L,0,6,79,88,ATL,ATL,2001
7,"Fri, Nov 10, 2000",Los Angeles Clippers,L,0,7,106,115,ATL,ATL,2001
8,"Tue, Nov 14, 2000",Portland Trail Blazers,W,1,7,99,97,ATL,ATL,2001
9,"Wed, Nov 15, 2000",Milwaukee Bucks,L,1,8,74,84,ATL,ATL,2001
10,"Fri, Nov 17, 2000",Boston Celtics,L,1,9,99,106,ATL,ATL,2001
11,"Sat, Nov 18, 2000",Minnesota Timberwolves,L,1,10,84,94,ATL,ATL,2001
12,"Wed, Nov 22, 2000",New York Knicks,W,2,10,78,74,ATL,ATL,2001
13,"Fri, Nov 24, 2000",Philadelphia 76ers,L,2,11,67,76,ATL,ATL,2001
14,"Sat, Nov 25, 2000",Orlando Magic,L,2,12,92,114,ATL,ATL,2001
15,"Tue, Nov 28, 2000",Washington Wizards,W,3,12,102,75,ATL,ATL,2001
16,"Thu, Nov 30, 2000",Chicago Bulls,L,3,13,82,91,ATL,ATL,2001
17,"Sat, Dec 2, 2000",Milwaukee Bucks,W,4,13,101,94,ATL,ATL,2001
18,"Tue, Dec 5, 2000",Miami Heat,L,4,14,92,100,ATL,ATL,2001
19,"Fri, Dec 8, 2000",Miami Heat,L,4,15,76,80,ATL,ATL,2001
20,"Sat, Dec 9, 2000",Cleveland Cavaliers,L,4,16,90,97,ATL,ATL,2001
21,"Tue, Dec 12, 2000",Sacramento Kings,W,5,16,107,99,ATL,ATL,2001
22,"Wed, Dec 13, 2000",Detroit Pistons,L,5,17,69,92,ATL,ATL,2001
23,"Fri, Dec 15, 2000",Chicago Bulls,W,6,17,85,74,ATL,ATL,2001
24,"Sat, Dec 16, 2000",New Jersey Nets,L,6,18,83,89,ATL,ATL,2001
25,"Tue, Dec 19, 2000",New York Knicks,W,7,18,87,77,ATL,ATL,2001
26,"Fri, Dec 22, 2000",Toronto Raptors,W,8,18,78,72,ATL,ATL,2001
27,"Sat, Dec 23, 2000",Indiana Pacers,W,9,18,91,87,ATL,ATL,2001
28,"Tue, Dec 26, 2000",New Jersey Nets,W,10,18,81,76,ATL,ATL,2001
29,"Thu, Dec 28, 2000",Minnesota Timberwolves,L,10,19,81,88,ATL,ATL,2001
30,"Fri, Dec 29, 2000",Cleveland Cavaliers,L,10,20,85,97,ATL,ATL,2001
31,"Tue, Jan 2, 2001",Boston Celtics,W,11,20,92,81,ATL,ATL,2001
32,"Wed, Jan 3, 2001",Philadelphia 76ers,L,11,21,80,98,ATL,ATL,2001
33,"Sat, Jan 6, 2001",Orlando Magic,W,12,21,83,82,ATL,ATL,2001
34,"Tue, Jan 9, 2001",Seattle SuperSonics,L,12,22,86,95,ATL,ATL,2001
35,"Thu, Jan 11, 2001",Golden State Warriors,W,13,22,107,96,ATL,ATL,2001
36,"Sat, Jan 13, 2001",Los Angeles Clippers,W,14,22,108,88,ATL,ATL,2001
37,"Mon, Jan 15, 2001",New Jersey Nets,L,14,23,78,84,ATL,ATL,2001
38,"Thu, Jan 18, 2001",Indiana Pacers,L,14,24,76,84,ATL,ATL,2001
39,"Sun, Jan 21, 2001",Washington Wizards,L,14,25,90,94,ATL,ATL,2001
40,"Tue, Jan 23, 2001",Boston Celtics,L,14,26,82,83,ATL,ATL,2001
41,"Fri, Jan 26, 2001",Washington Wizards,L,14,27,99,106,ATL,ATL,2001
42,"Sat, Jan 27, 2001",Cleveland Cavaliers,W,15,27,101,90,ATL,ATL,2001
43,"Mon, Jan 29, 2001",Phoenix Suns,L,15,28,82,95,ATL,ATL,2001
44,"Wed, Jan 31, 2001",Toronto Raptors,W,16,28,102,97,ATL,ATL,2001
45,"Fri, Feb 2, 2001",Miami Heat,L,16,29,80,91,ATL,ATL,2001
46,"Sat, Feb 3, 2001",Orlando Magic,L,16,30,84,96,ATL,ATL,2001
47,"Mon, Feb 5, 2001",Dallas Mavericks,L,16,31,81,91,ATL,ATL,2001
48,"Tue, Feb 6, 2001",New Jersey Nets,L,16,32,84,90,ATL,ATL,2001
49,"Thu, Feb 8, 2001",Charlotte Hornets,L,16,33,84,101,ATL,ATL,2001
50,"Tue, Feb 13, 2001",Chicago Bulls,L,16,34,92,96,ATL,ATL,2001
51,"Wed, Feb 14, 2001",Milwaukee Bucks,L,16,35,98,102,ATL,ATL,2001
52,"Sat, Feb 17, 2001",Seattle SuperSonics,W,17,35,101,94,ATL,ATL,2001
53,"Sun, Feb 18, 2001",Golden State Warriors,W,18,35,98,91,ATL,ATL,2001
54,"Tue, Feb 20, 2001",Sacramento Kings,L,18,36,80,94,ATL,ATL,2001
55,"Fri, Feb 23, 2001",Los Angeles Lakers,L,18,37,106,113,ATL,ATL,2001
56,"Sat, Feb 24, 2001",Denver Nuggets,L,18,38,82,85,ATL,ATL,2001
57,"Mon, Feb 26, 2001",Utah Jazz,L,18,39,82,99,ATL,ATL,2001
58,"Wed, Feb 28, 2001",Toronto Raptors,L,18,40,88,95,ATL,ATL,2001
59,"Fri, Mar 2, 2001",Charlotte Hornets,L,18,41,99,105,ATL,ATL,2001
60,"Sat, Mar 3, 2001",San Antonio Spurs,L,18,42,95,124,ATL,ATL,2001
61,"Mon, Mar 5, 2001",Utah Jazz,L,18,43,102,109,ATL,ATL,2001
62,"Wed, Mar 7, 2001",Houston Rockets,L,18,44,98,104,ATL,ATL,2001
63,"Fri, Mar 9, 2001",Philadelphia 76ers,L,18,45,103,108,ATL,ATL,2001
64,"Sat, Mar 10, 2001",Chicago Bulls,W,19,45,93,90,ATL,ATL,2001
65,"Tue, Mar 13, 2001",Vancouver Grizzlies,W,20,45,109,99,ATL,ATL,2001
66,"Fri, Mar 16, 2001",Indiana Pacers,L,20,46,97,103,ATL,ATL,2001
67,"Sat, Mar 17, 2001",Detroit Pistons,L,20,47,90,106,ATL,ATL,2001
68,"Mon, Mar 19, 2001",Los Angeles Lakers,W,21,47,108,106,ATL,ATL,2001
69,"Thu, Mar 22, 2001",San Antonio Spurs,L,21,48,101,115,ATL,ATL,2001
70,"Fri, Mar 23, 2001",Toronto Raptors,L,21,49,86,112,ATL,ATL,2001
71,"Sun, Mar 25, 2001",Milwaukee Bucks,L,21,50,98,105,ATL,ATL,2001
72,"Tue, Mar 27, 2001",Boston Celtics,L,21,51,112,115,ATL,ATL,2001
73,"Thu, Mar 29, 2001",Indiana Pacers,W,22,51,104,93,ATL,ATL,2001
74,"Sat, Mar 31, 2001",Denver Nuggets,W,23,51,99,88,ATL,ATL,2001
75,"Thu, Apr 5, 2001",Dallas Mavericks,L,23,52,94,108,ATL,ATL,2001
76,"Sat, Apr 7, 2001",Houston Rockets,L,23,53,97,110,ATL,ATL,2001
77,"Mon, Apr 9, 2001",Detroit Pistons,L,23,54,69,81,ATL,ATL,2001
78,"Wed, Apr 11, 2001",Cleveland Cavaliers,W,24,54,107,102,ATL,ATL,2001
79,"Fri, Apr 13, 2001",New York Knicks,L,24,55,65,101,ATL,ATL,2001
80,"Sat, Apr 14, 2001",Detroit Pistons,L,24,56,124,129,ATL,ATL,2001
81,"Mon, Apr 16, 2001",Charlotte Hornets,L,24,57,83,106,ATL,ATL,2001
82,"Tue, Apr 17, 2001",Washington Wizards,W,25,57,122,119,ATL,ATL,2001
1,"Tue, Oct 30, 2001",Houston Rockets,L,0,1,84,89,ATL,ATL,2002
2,"Thu, Nov 1, 2001",Washington Wizards,L,0,2,88,98,ATL,ATL,2002
3,"Sat, Nov 3, 2001",Miami Heat,W,1,2,90,83,ATL,ATL,2002
4,"Mon, Nov 5, 2001",Los Angeles Clippers,L,1,3,86,109,ATL,ATL,2002
5,"Wed, Nov 7, 2001",Utah Jazz,L,1,4,89,96,ATL,ATL,2002
6,"Thu, Nov 8, 2001",Phoenix Suns,L,1,5,80,108,ATL,ATL,2002
7,"Sat, Nov 10, 2001",San Antonio Spurs,L,1,6,88,110,ATL,ATL,2002
8,"Wed, Nov 14, 2001",Utah Jazz,W,2,6,111,79,ATL,ATL,2002
9,"Fri, Nov 16, 2001",Philadelphia 76ers,L,2,7,78,98,ATL,ATL,2002
10,"Sat, Nov 17, 2001",Boston Celtics,W,3,7,112,103,ATL,ATL,2002
11,"Tue, Nov 20, 2001",Indiana Pacers,L,3,8,102,106,ATL,ATL,2002
12,"Wed, Nov 21, 2001",Boston Celtics,W,4,8,92,85,ATL,ATL,2002
13,"Fri, Nov 23, 2001",Detroit Pistons,W,5,8,106,99,ATL,ATL,2002
14,"Sat, Nov 24, 2001",Milwaukee Bucks,L,5,9,88,95,ATL,ATL,2002
15,"Mon, Nov 26, 2001",New York Knicks,L,5,10,83,88,ATL,ATL,2002
16,"Wed, Nov 28, 2001",New York Knicks,L,5,11,100,105,ATL,ATL,2002
17,"Thu, Nov 29, 2001",Cleveland Cavaliers,W,6,11,105,96,ATL,ATL,2002
18,"Sat, Dec 1, 2001",Toronto Raptors,L,6,12,103,104,ATL,ATL,2002
19,"Wed, Dec 5, 2001",San Antonio Spurs,L,6,13,112,120,ATL,ATL,2002
20,"Fri, Dec 7, 2001",Orlando Magic,L,6,14,94,129,ATL,ATL,2002
21,"Sat, Dec 8, 2001",Orlando Magic,W,7,14,107,104,ATL,ATL,2002
22,"Tue, Dec 11, 2001",Philadelphia 76ers,W,8,14,89,87,ATL,ATL,2002
23,"Sat, Dec 15, 2001",Chicago Bulls,W,9,14,80,79,ATL,ATL,2002
24,"Tue, Dec 18, 2001",Indiana Pacers,L,9,15,100,103,ATL,ATL,2002
25,"Wed, Dec 19, 2001",Washington Wizards,L,9,16,76,103,ATL,ATL,2002
26,"Fri, Dec 21, 2001",Philadelphia 76ers,L,9,17,83,94,ATL,ATL,2002
27,"Sat, Dec 22, 2001",Charlotte Hornets,W,10,17,101,88,ATL,ATL,2002
28,"Wed, Dec 26, 2001",Milwaukee Bucks,L,10,18,97,107,ATL,ATL,2002
29,"Thu, Dec 27, 2001",Miami Heat,W,11,18,100,96,ATL,ATL,2002
30,"Sat, Dec 29, 2001",Dallas Mavericks,L,11,19,97,113,ATL,ATL,2002
31,"Fri, Jan 4, 2002",Memphis Grizzlies,W,12,19,113,109,ATL,ATL,2002
32,"Sat, Jan 5, 2002",Minnesota Timberwolves,L,12,20,96,112,ATL,ATL,2002
33,"Tue, Jan 8, 2002",Portland Trail Blazers,W,13,20,101,92,ATL,ATL,2002
34,"Wed, Jan 9, 2002",Charlotte Hornets,L,13,21,87,111,ATL,ATL,2002
35,"Fri, Jan 11, 2002",Toronto Raptors,L,13,22,91,94,ATL,ATL,2002
36,"Sat, Jan 12, 2002",Boston Celtics,L,13,23,91,115,ATL,ATL,2002
37,"Tue, Jan 15, 2002",Dallas Mavericks,L,13,24,107,116,ATL,ATL,2002
38,"Thu, Jan 17, 2002",Chicago Bulls,L,13,25,91,94,ATL,ATL,2002
39,"Sat, Jan 19, 2002",Milwaukee Bucks,L,13,26,107,116,ATL,ATL,2002
40,"Mon, Jan 21, 2002",Houston Rockets,W,14,26,95,91,ATL,ATL,2002
41,"Tue, Jan 22, 2002",Orlando Magic,L,14,27,86,100,ATL,ATL,2002
42,"Fri, Jan 25, 2002",Detroit Pistons,L,14,28,90,107,ATL,ATL,2002
43,"Sat, Jan 26, 2002",Minnesota Timberwolves,L,14,29,80,103,ATL,ATL,2002
44,"Tue, Jan 29, 2002",Los Angeles Lakers,L,14,30,93,127,ATL,ATL,2002
45,"Wed, Jan 30, 2002",Detroit Pistons,L,14,31,71,88,ATL,ATL,2002
46,"Fri, Feb 1, 2002",Washington Wizards,L,14,32,90,97,ATL,ATL,2002
